office_id;agency;branch;broker_owner;address;tel;email;latitude;longitude;postal_address;qa_email;website_url;bdc;;;;;;;
800641;RE/MAX;1st Realty (Saldanha);HQ Administrator;"112 Main Street; Saldanha; 7395";+27 22 714 1531;admin@remaxweskus.co.za;-329850773;179498399;PO BOX 1400; Saldanha;7395;admin@remaxweskus.co.za;www.remax.co.za;Tommy Thompson;;;;;
804071;RE/MAX;1st Realty (St Helena Bay);Darrelle Visser Scheepers; HQ Administrator;"Shop 22 De Palm Lifestyle Centre; St Helena Bay; 7390";022 714 1530;admin@remaxweskus.co.za;-327513887;18011423;PO BOX 1400; Saldanha;7395;admin@remaxweskus.co.za;www.remax.co.za;Tommy Thompson;;;;
800544;RE/MAX;2000 (Florida);HQ Administrator;"464 Ontdekkers Road; Florida Park; Roodepoort; 1709";116742025;remax2000@remax2000.co.za;-261678922;279311558;P O Box 164; Florida Hills;1716;remax2000@remax2000.co.za;www.remax2000.co.za;Valerie Kritzinger;;;;;
75510;RE/MAX;2000 (Lenasia);HQ Administrator;"2 Honeysuckle Road; Lenasia; Ext. 1; 1820";+27 (0) 10 824 4219;remax2000@remax2000.co.za;-263183631;278260747;P O Box 164; Florida Hills;1716;remax2000@remax2000.co.za;www.remax2000.co.za;Valerie Kritzinger;;;;;
803007;RE/MAX;24 (Mauritius);HQ Administrator; Errol Areington;"Coastal Road (B13); Pointe Aux Cannoniers; Grand Bay; Mauritius";+230 2600571 / +230 2600;reception@remax24.com;-20013083;57583793;Coastal Road (B13); Pointe Aux Cannoniers; Grand Bay; Mauritius;reception@remax24.com;www.remax24.com;Tommy Thompson;;;
803535;RE/MAX;24 (Tamarin);Errol Areington; HQ Administrator;"Shop 11 Nautica Commercial Centre; Royal Road; Black River; Mauritius";+230 2600571 / +230 2600;reception@remax24.com.;-20358113;573678394;Shop 11 Nautica Commercial Centre; Royal Road; Black River; Mauritius;errol@remax24.com;www.remax24.com;Tommy Thompson;;;
75508;RE/MAX;ABM Properties (Kwazakhele);Lulekwa Patience Ben Mazwi; HQ Administrator; Patience Ben-Mazwi;"3151 Daku Road. Kwazakhele; Port Elizabeth";041 454 3766;info@remaxabm.co.za;-338806724;255720814;3151 Daku Road. Kwazakhele; Port Elizabeth;info@remaxabm.co.za;;Gavin Van Zyl;;;;
800629;RE/MAX;ABM Properties (Motherwell);Lulekwa Patience Ben Mazwi; HQ Administrator; Patience Ben-Mazwi;"34 Qutsa Street; Motherwell; NU4B";041 462 5524;info@remaxabm.co.za;-33809135;25594067;34 Qutsa Street; Motherwell; NU4B;info@remaxabm.co.za;www.remax.co.za;Gavin van Zyl;;;
800604;RE/MAX;ABM Properties (New Brighton);Lulekwa Patience Ben Mazwi; HQ Administrator; Patience Ben-Mazwi;"30 Ntshekisa Road New Brighton;6200";041 454 3766;info@remaxabm.co.za;-3390524;2558663;30 Ntshekisa Road New Brighton;6200;info@remaxabm.co.za;www.remax.co.za;Gavin van Zyl;;;;
803903;RE/MAX;Above and Beyond (Port Elizabeth);Lesley Ann Nevins Olivier;"172 Cape Road; Mill Park; Port Elizabeth";041 476 0700;reception@remaxcaperoad.co.za;-3395597;2558782;172 Cape Road; Mill Park; Port Elizabeth;reception@remaxcaperoad.co.za;www.remax.co.za;Gavin van Zyl;;;;;
801364;RE/MAX;Above and Beyond (Uitenhage);HQ Administrator;"23 Graaff Reinet Road; Uitenhage; 6229";041 922 0117;reception@remaxcaperoad.co.za;-33758168;25406893;23 Graaff Reinet Road; Uitenhage;6229;reception@remaxcaperoad.co.za;www.remax.co.za;Gavin van Zyl;;;;;
800682;RE/MAX;Address (Berea);HQ Administrator;"38 Montpelier Place; Berea; 4001";031 313 1310;berea@remaxaddress.co.za;-298379113;310175963;P O Box 206; Durban;4000;qualityassurance@remax-address.co.za;www.remax-address.co.za;Valerie Kritzinger;;;;;
75521;RE/MAX;Address (Kloof);HQ Administrator;"Shop 24 Delcairn Lifestyle Centre; Village Road; Kloof; 3610";031 764 1702;kloof@remaxaddress.co.za;-297944992;30839996;P O Box 206; Durban;4000;kloof@remaxaddress.co.za;www.remax-address.co.za;Valerie Kritzinger;;;;;
75520;RE/MAX;Address (Le Domaine);HQ Administrator;"Office 2 Le Domaine Office Block; 100 Acutts Drive; Hillcrest; 3650";+27 31 764 1702;kloof@remaxaddress.co.za;-297619233;307987465;P O Box 206; Durban;4000;kloof@remaxaddress.co.za;;Valerie Kritzinger;;;;;
75504;RE/MAX;Address (Sibaya);HQ Administrator;"Shop 1 Ocean Dune; 2 Heleza Boulevard; Sibaya; Durban";+27 31 568 1169;umhlanga@remaxaddress.co.za;-296830883;311062528;Shop 1 Ocean Dune; 2 Heleza Boulevard; Sibaya; Durban;umhlanga@remaxaddress.co.za;;Valerie Kritzinger;;;;
800684;RE/MAX;Address (Umhlanga);HQ Administrator;"Suite 3306; Umhlanga Arch; 1 Ncondo Place; Umhlanga Ridge 4320";031 561 5032;umhlanga@remaxaddress.co.za;-297279312;310722222;P O Box 206; Durban;4000;qualityassurance@remax-address.co.za;www.remax-address.co.za;Valerie Kritzinger;;;;;
800683;RE/MAX;Address (Upper Highway);HQ Administrator;"41B Old Main Road; Hillcrest; 3610";+27 (0)31 761 4700;kloof@remaxaddress.co.za;-297831487;307635097;P O Box 206; Durban;4000;qualityassurance@remax-address.co.za;www.remax-address.co.za;Valerie Kritzinger;;;;;
800590;RE/MAX;Advance (Bluff);HQ Administrator;"78 Lighthouse Road; Bluff; 4052";031 451 4400;admin@remax-advance.co.za;-29908826;31021155;78 Lighthouse Road; Bluff;4052;admin@remax-advance.co.za;www.remax.co.za;Tommy Thompson;;;;;
800634;RE/MAX;Advance (Queensburgh);HQ Administrator;"244 Main Road; Malvern";031 464 8000;admin@remax-advance.co.za;-298754348;309135053;244 Main Road; Malvern;heind@remax.net;www.remax.co.za;Tommy Thompson;;;;;;
802826;RE/MAX;Advantage (Rosebank);HQ Administrator;"247 Jan Smuts Avenue; Dunkeld West 2196";011 447 6763;frikkie@remax-advantage.co.za;-261436421;280385015;247 Jan Smuts Avenue; Dunkeld West;2196;frikkie@remax-advantage.co.za;;Vanessa Sofianos;;;;;
804078;RE/MAX;All Properties (Thabazimbi);HQ Administrator;"4 Carpe Diem Centre; 13th Avenue; Thabazimbi; 0387";014 161 0369;admin@remax-thabazimbi.co.za;-24590367;27410549;4 Carpe Diem Centre; 13th Avenue; Thabazimbi;387;admin@remax-thabazimbi.co.za;www.remax.co.za;Valerie Kritzinger;;;;
